,Home_Team,Away_Team,Winner
0,England,South Africa,England
1,Pakistan,West Indies,West Indies
2,New Zealand,Sri Lanka,New Zealand
3,Afghanistan,Australia,Australia
4,Bangladesh,South Africa,Bangladesh
5,England,Pakistan,Pakistan
6,Afghanistan,Sri Lanka,Sri Lanka
7,India,South Africa,India
8,Bangladesh,New Zealand,New Zealand
9,Australia,West Indies,Australia
10,Pakistan,Sri Lanka,abandoned
11,England,Bangladesh,England
12,Afghanistan,New Zealand,New Zealand
13,Australia,India,India
14,South Africa,West Indies,result
15,Bangladesh,Sri Lanka,abandoned
16,Australia,Pakistan,Australia
17,India,New Zealand,abandoned
18,England,West Indies,England
19,Australia,Sri Lanka,Australia
20,Afghanistan,South Africa,South Africa
21,India,Pakistan,India
22,Bangladesh,West Indies,Bangladesh
23,England,Afghanistan,England
24,New Zealand,South Africa,New Zealand
25,Australia,Bangladesh,Australia
26,England,Sri Lanka,Sri Lanka
27,Afghanistan,India,India
28,New Zealand,West Indies,New Zealand
29,Pakistan,South Africa,Pakistan
30,Afghanistan,Bangladesh,Bangladesh
31,England,Australia,Australia
32,New Zealand,Pakistan,Pakistan
33,India,West Indies,India
34,South Africa,Sri Lanka,South Africa
35,Afghanistan,Pakistan,Pakistan
36,Australia,New Zealand,Australia
37,England,India,England
38,Sri Lanka,West Indies,Sri Lanka
39,Bangladesh,India,India
40,England,New Zealand,England
41,Afghanistan,West Indies,West Indies
42,Bangladesh,Pakistan,Pakistan
43,India,Sri Lanka,India
44,Australia,South Africa,South Africa
45,India,New Zealand,New Zealand
46,England,Australia,England
47,England,New Zealand,England
